Hyd_Year,Station,Storm,Start,Finish,vol_L,vol_m3,peak_Ls,peak (m3/s),Load
10,ARF,1,12/15/2009 14:40,12/17/2009 19:20,40863908,40863.91,549.3459,0.549346,2.93
10,ARF,2,1/18/2010 4:10,1/24/2010 11:40,411000000,410931,1717.131,1.717131,62.33
10,ARF,3,1/24/2010 22:40,1/28/2010 23:50,260000000,260372.5,2505.47,2.50547,89.84
10,ARF,4,2/26/2010 5:20,3/2/2010 0:00,137000000,136767.3,1054.801,1.054801,17.86
10,ARF,5,3/2/2010 2:30,3/5/2010 23:50,167000000,167181.3,934.7376,0.934738,8.24
10,ARF,6,3/31/2010 11:40,4/7/2010 20:40,259000000,258698.9,796.5516,0.796552,7.84
10,ARF,7,4/11/2010 4:40,4/15/2010 23:50,153000000,153229.4,890.8465,0.890847,7.02
12,ARF,1,11/23/2011 14:20,11/25/2011 22:50,38326431,38326.43144,497.5262,0.497526,4.06
12,ARF,2,1/19/2012 7:10,1/22/2012 5:30,134000000,133838.5771,1914.782,1.914782,42
12,ARF,3,1/22/2012 12:00,1/26/2012 9:30,176000000,175762.2417,1419.804,1.419804,18.43
12,ARF,4,3/26/2012 21:00,3/29/2012 12:40,297000000,296909.2596,2791.753,2.791753,160.9
12,ARF,5,3/29/2012 14:40,4/3/2012 23:50,361000000,361315.7136,1568.468,1.568468,52.14
14,ARF,1,2/8/2014 7:10,2/13/2014 23:50,43402797.2,43402.7972,257.6262464,0.257626246,1.49
14,ARF,2,3/3/2014 4:30,3/5/2014 12:50,100916742.7,100916.7427,1321.828224,1.321828224,21.42
14,ARF,3,3/28/2014 12:40,3/31/2014 12:20,104836580.2,104836.5802,926.525696,0.926525696,7.52
10,CAR,1,12/15/2009 14:40,12/17/2009 19:20,1988298,1988.298,30.44056,0.030441,2.53
10,CAR,2,1/18/2010 4:10,1/24/2010 11:40,27724633,27724.63,122.4135,0.122414,34.6
10,CAR,3,1/24/2010 22:40,1/28/2010 23:50,16613799,16613.8,148.9464,0.148946,19.55
10,CAR,4,2/26/2010 5:20,3/2/2010 0:00,10106434,10106.43,81.43912,0.081439,9.09
10,CAR,5,3/2/2010 2:30,3/5/2010 23:50,11651056,11651.06,56.35043,0.05635,2.87
10,CAR,6,3/31/2010 11:40,4/7/2010 20:40,20839409,20839.41,63.99597,0.063996,6.11
10,CAR,7,4/11/2010 4:40,4/15/2010 23:50,11198671,11198.67,56.18053,0.056181,2.57
11,CAR,1,10/23/2010 1:10,10/27/2010 7:50,2274132,2274.132,30.58214,0.030582,3.43
11,CAR,2,10/28/2010 0:20,11/1/2010 23:50,4047325,4047.325,25.71732,0.025717,NA
11,CAR,3,12/19/2010 0:30,12/25/2010 23:50,19258736,19258.74,63.25973,0.06326,13.81
11,CAR,4,12/28/2010 10:50,1/2/2011 22:50,19589328,19589.33,147.219,0.147219,33.74
11,CAR,5,2/15/2011 6:50,2/20/2011 21:30,10323715,10323.72,32.0263,0.032026,5.28
11,CAR,6,3/15/2011 4:30,3/17/2011 14:10,9433312,9433.312,67.56388,0.067564,11.17
11,CAR,7,3/17/2011 20:50,3/22/2011 19:20,21196713,21196.71,81.43912,0.081439,11.06
11,CAR,8,3/23/2011 1:40,4/1/2011 16:30,38760606,38760.61,144.4723,0.144472,62.87
12,CAR,1,11/23/2011 14:20,11/25/2011 22:50,2008488,2008.488,28.59997,0.0286,3.06
12,CAR,2,1/19/2012 7:10,1/22/2012 5:30,7098381,7098.381,104.9421,0.104942,16
12,CAR,3,1/22/2012 12:00,1/26/2012 9:30,11239115,11239.11,91.54821,0.091548,9.74
12,CAR,4,3/26/2012 21:00,3/29/2012 12:40,18111111,18111.11,160.8394,0.160839,115.36
12,CAR,5,3/29/2012 14:40,4/3/2012 23:50,22531649,22531.65,102.9599,0.10296,12.08
13,CAR,1,12/1/2012 16:50,12/4/2012 11:50,6751153,6751.153,92.62425,0.092624,19.25
13,CAR,2,12/20/2012 14:40,12/23/2012 2:00,11154507,11154.51,122.6401,0.12264,16.3
13,CAR,3,12/23/2012 2:10,12/25/2012 15:40,10368320,10368.32,94.52148,0.094521,5.06
14,CAR,1,2/8/2014 7:10,2/13/2014 23:50,1519911,1519.911,11.5391,0.011539,NA
14,CAR,2,3/3/2014 4:30,3/5/2014 12:50,5323288,5323.288,74.30328,0.074303,9.43
14,CAR,3,3/28/2014 12:40,3/31/2014 12:20,6126348,6126.348,51.98964,0.05199,4.72
15,CAR,1,12/3/2014 4:10,12/5/2014 12:00,2070130,2070.13,29.1663,0.029166,1.58
15,CAR,2,12/10/2014 13:00,12/14/2014 23:50,11324665,11324.66,96.64524,0.096645,13.28
15,CAR,3,12/16/2014 13:20,12/24/2014 7:30,26413186,26413.19,82.45852,0.082459,10.19
15,CAR,4,2/6/2015 1:10,2/9/2015 5:30,14626836,14626.84,133.9951,0.133995,48.64
10,DOL,1,12/15/2009 14:40,12/17/2009 19:20,7452498,7452.498,90.75534,0.090755,5.51
10,DOL,2,1/18/2010 4:10,1/24/2010 11:40,67229871,67229.87,252.8407,0.252841,126.37
10,DOL,3,1/24/2010 22:40,1/28/2010 23:50,43159272,43159.27,422.7698,0.42277,260.18
10,DOL,4,2/26/2010 5:20,3/2/2010 0:00,23351137,23351.14,175.8756,0.175876,33.51
10,DOL,5,3/2/2010 2:30,3/5/2010 23:50,29358450,29358.45,167.3523,0.167352,34.31
10,DOL,6,3/31/2010 11:40,4/7/2010 20:40,46064473,46064.47,139.0355,0.139035,18.05
10,DOL,7,4/11/2010 4:40,4/15/2010 23:50,26655867,26655.87,154.1567,0.154157,15.75
11,DOL,1,10/23/2010 1:10,10/27/2010 7:50,8779923,8779.923,109.2462,0.109246,8.56
11,DOL,2,10/28/2010 0:20,11/1/2010 23:50,13564440,13564.44,85.65832,0.085658,5.01
11,DOL,3,12/19/2010 0:30,12/25/2010 23:50,42820077,42820.08,118.7323,0.118732,26.41
11,DOL,4,12/28/2010 10:50,1/2/2011 22:50,49909745,49909.74,408.0451,0.408045,534.47
11,DOL,5,2/15/2011 6:50,2/20/2011 21:30,22510162,22510.16,86.45119,0.086451,5.94
11,DOL,6,3/15/2011 4:30,3/17/2011 14:10,24487079,24487.08,189.7226,0.189723,43.72
11,DOL,7,3/17/2011 20:50,3/22/2011 19:20,51961645,51961.65,215.8023,0.215802,67.96
11,DOL,8,3/23/2011 1:40,4/1/2011 16:30,92244071,92244.07,322.2452,0.322245,322.92
12,DOL,1,11/23/2011 14:20,11/25/2011 22:50,6240954,6240.954,79.14546,0.079145,6.6
12,DOL,2,1/19/2012 7:10,1/22/2012 5:30,21534052,21534.05,299.3086,0.299309,209.73
12,DOL,3,1/22/2012 12:00,1/26/2012 9:30,27671974,27671.97,222.3718,0.222372,138.05
12,DOL,4,3/26/2012 21:00,3/29/2012 12:40,50982719,50982.72,479.1203,0.47912,1032.75
12,DOL,5,3/29/2012 14:40,4/3/2012 23:50,63879456,63879.46,278.1276,0.278128,254.77
13,DOL,1,12/1/2012 16:50,12/4/2012 11:50,21125494,21125.49436,306.1046,0.306104608,124.84
13,DOL,2,12/20/2012 14:40,12/23/2012 2:00,28722724,28722.72416,276.9383,0.276938304,130.17
13,DOL,3,12/23/2012 2:10,12/25/2012 15:40,30530987,30530.98687,288.265,0.288265024,108.31
14,DOL,1,2/8/2014 7:10,2/13/2014 23:50,8162655,8162.655,43.63619,0.043636,2.75
14,DOL,2,3/3/2014 4:30,3/5/2014 12:50,18546108,18546.11,247.6587,0.247659,91.6
14,DOL,3,3/28/2014 12:40,3/31/2014 12:20,18856535,18856.54,172.8457,0.172846,38.05
15,DOL,1,12/3/2014 4:10,12/5/2014 12:00,10265274,10265.27,124.4807,0.124481,0.54
15,DOL,2,12/10/2014 13:00,12/14/2014 23:50,35438210,35438.21,328.758,0.328758,4.57
15,DOL,3,12/16/2014 13:20,12/24/2014 7:30,67949205,67949.21,203.3996,0.2034,3.5
15,DOL,4,2/6/2015 1:10,2/9/2015 5:30,42215182,42215.18,419.3718,0.419372,16.72
10,EAG,1,12/15/2009 14:40,12/17/2009 19:20,2837329.938,2837.32994,36.0472864,0.036047286,5.54
10,EAG,2,1/18/2010 4:10,1/24/2010 11:40,26346133.08,26346.1331,99.4486016,0.099448602,91.01
10,EAG,3,1/24/2010 22:40,1/28/2010 23:50,15900828.98,15900.829,166.502784,0.166502784,117.15
10,EAG,4,2/26/2010 5:20,3/2/2010 0:00,8868220.311,8868.22031,80.2498112,0.080249811,39.66
10,EAG,5,3/2/2010 2:30,3/5/2010 23:50,10178813,10178.813,63.429632,0.063429632,8.2
10,EAG,6,3/31/2010 11:40,4/7/2010 20:40,16141923.31,16141.9233,50.6021216,0.050602122,4.83
10,EAG,7,4/11/2010 4:40,4/15/2010 23:50,9436925.861,9436.92586,62.8916128,0.062891613,6.97
11,EAG,1,10/23/2010 1:10,10/27/2010 7:50,2714731.627,2714.73163,36.9817408,0.036981741,NA
11,EAG,2,10/28/2010 0:20,11/1/2010 23:50,5159527.786,5159.52779,38.6807488,0.038680749,NA
11,EAG,3,12/19/2010 0:30,12/25/2010 23:50,15697474.71,15697.4747,48.3934112,0.048393411,7.72
11,EAG,4,12/28/2010 10:50,1/2/2011 22:50,16929921.52,16929.9215,164.180806,0.164180806,135.21
11,EAG,5,2/15/2011 6:50,2/20/2011 21:30,8631798.591,8631.79859,41.6823296,0.04168233,6.25
11,EAG,6,3/15/2011 4:30,3/17/2011 14:10,9380909.567,9380.90957,76.2571424,0.076257142,21.8
11,EAG,7,3/17/2011 20:50,3/22/2011 19:20,18818927.89,18818.9279,80.6462464,0.080646246,23.9
