Hyd_Year,Station,Storm,vol_L,vol_m3,peak_Ls,peak_m3s,Load
10,OGI,1,2520800.00,2520.80,59.24,0.06,27.98
10,OGI,2,12703948.00,12703.95,57.09,0.06,25.36
10,OGI,3,6453661.00,6453.66,91.97,0.09,26.94
10,OGI,4,4222356.00,4222.36,82.26,0.08,22.68
10,OGI,5,5434605.00,5434.61,45.08,0.05,6.83
10,OGI,6,8149713.00,8149.71,48.56,0.05,11.53
10,OGI,7,6313634.00,6313.63,47.57,0.05,8.91
11,OGI,1,4290807.00,4290.81,75.27,0.08,42.35
11,OGI,2,4168567.00,4168.57,37.12,0.04,6.17
11,OGI,3,7802963.00,7802.96,33.50,0.03,7.76
11,OGI,4,7176566.00,7176.57,82.66,0.08,40.55
11,OGI,5,5899275.00,5899.28,29.87,0.03,8.63
11,OGI,6,4341604.00,4341.60,38.99,0.04,14.10
11,OGI,7,8626647.00,8626.65,38.82,0.04,6.78
11,OGI,8,18841958.00,18841.96,95.37,0.10,72.79
12,OGI,1,2335508.00,2335.51,47.23,0.05,26.89
12,OGI,2,4467195.00,4467.20,115.48,0.12,71.58
12,OGI,3,5262268.00,5262.27,62.33,0.06,16.94
12,OGI,4,6171619.00,6171.62,62.89,0.06,29.89
12,OGI,5,8742732.00,8742.73,60.48,0.06,19.40
13,OGI,1,4826391.00,4826.39,142.52,0.14,63.01
13,OGI,2,5948767.00,5948.77,91.35,0.09,25.52
13,OGI,3,4471291.00,4471.29,79.23,0.08,10.05
14,OGI,1,3374349.00,3374.35,33.36,0.03,14.64
14,OGI,2,4396516.00,4396.52,91.55,0.09,35.14
14,OGI,3,3745737.00,3745.74,59.04,0.06,13.77
15,OGI,1,2132568.00,2132.57,51.65,0.05,14.43
15,OGI,2,6767504.00,6767.50,83.68,0.08,20.98
15,OGI,3,12490381.00,12490.38,45.56,0.05,9.13
15,OGI,4,6312730.00,6312.73,109.16,0.11,41.64
10,POR,1,5251720.00,5251.72,114.51,0.11,56.34
10,POR,2,28945058.00,28945.06,130.63,0.13,71.51
10,POR,3,15232254.00,15232.25,218.15,0.22,57.35
10,POR,4,9279409.00,9279.41,141.16,0.14,27.03
10,POR,5,10619619.00,10619.62,65.69,0.07,8.49
10,POR,6,15787087.00,15787.09,75.69,0.08,17.03
10,POR,7,12292581.00,12292.58,103.95,0.10,21.39
11,POR,1,8046171.00,8046.17,136.74,0.14,62.74
11,POR,2,8461525.00,8461.53,77.84,0.08,9.87
11,POR,3,15544437.00,15544.44,61.02,0.06,10.16
11,POR,4,15586793.00,15586.79,179.30,0.18,59.18
11,POR,5,10962074.00,10962.07,58.16,0.06,14.57
11,POR,6,8912687.00,8912.69,86.90,0.09,21.36
11,POR,7,17808268.00,17808.27,83.68,0.08,16.47
11,POR,8,38152769.00,38152.77,200.09,0.20,141.86
