Hyd_Year,Station,Storm,Start,Finish,vol_L,vol_m3,peak_Ls,peak (m3/s),Load
10,OGI,1,12/15/2009 14:40,12/17/2009 19:20,2520800,2520.8,59.23875,0.059239,27.98
10,OGI,2,1/18/2010 4:10,1/24/2010 11:40,12703948,12703.95,57.08667,0.057087,25.36
10,OGI,3,1/24/2010 22:40,1/28/2010 23:50,6453661,6453.661,91.97297,0.091973,26.94
10,OGI,4,2/26/2010 5:20,3/2/2010 0:00,4222356,4222.356,82.2603,0.08226,22.68
10,OGI,5,3/2/2010 2:30,3/5/2010 23:50,5434605,5434.605,45.08035,0.04508,6.83
10,OGI,6,3/31/2010 11:40,4/7/2010 20:40,8149713,8149.713,48.56331,0.048563,11.53
10,OGI,7,4/11/2010 4:40,4/15/2010 23:50,6313634,6313.634,47.57222,0.047572,8.91
11,OGI,1,10/23/2010 1:10,10/27/2010 7:50,4290807,4290.807,75.26605,0.075266,42.35
11,OGI,2,10/28/2010 0:20,11/1/2010 23:50,4168567,4168.567,37.12332,0.037123,6.17
11,OGI,3,12/19/2010 0:30,12/25/2010 23:50,7802963,7802.963,33.49877,0.033499,7.76
11,OGI,4,12/28/2010 10:50,1/2/2011 22:50,7176566,7176.566,82.65674,0.082657,40.55
11,OGI,5,2/15/2011 6:50,2/20/2011 21:30,5899275,5899.275,29.87422,0.029874,8.63
11,OGI,6,3/15/2011 4:30,3/17/2011 14:10,4341604,4341.604,38.99223,0.038992,14.1
11,OGI,7,3/17/2011 20:50,3/22/2011 19:20,8626647,8626.647,38.82233,0.038822,6.78
11,OGI,8,3/23/2011 1:40,4/1/2011 16:30,18841958,18841.96,95.37098,0.095371,72.79
12,OGI,1,11/23/2011 14:20,11/25/2011 22:50,2335508,2335.508,47.23242,0.047232,26.89
12,OGI,2,1/19/2012 7:10,1/22/2012 5:30,4467195,4467.195,115.4759,0.115476,71.58
12,OGI,3,1/22/2012 12:00,1/26/2012 9:30,5262268,5262.268,62.32528,0.062325,16.94
12,OGI,4,3/26/2012 21:00,3/29/2012 12:40,6171619,6171.619,62.89161,0.062892,29.89
12,OGI,5,3/29/2012 14:40,4/3/2012 23:50,8742732,8742.732,60.48468,0.060485,19.4
13,OGI,1,12/1/2012 16:50,12/4/2012 11:50,4826391,4826.391,142.5185,0.142518,63.01
13,OGI,2,12/20/2012 14:40,12/23/2012 2:00,5948767,5948.767,91.35,0.09135,25.52
13,OGI,3,12/23/2012 2:10,12/25/2012 15:40,4471291,4471.291,79.23041,0.07923,10.05
14,OGI,1,2/8/2014 7:10,2/13/2014 23:50,3374349,3374.349,33.35719,0.033357,14.64
14,OGI,2,3/3/2014 4:30,3/5/2014 12:50,4396516,4396.516,91.54821,0.091548,35.14
14,OGI,3,3/28/2014 12:40,3/31/2014 12:20,3745737,3745.737,59.04053,0.059041,13.77
15,OGI,1,12/3/2014 4:10,12/5/2014 12:00,2132568,2132.568,51.64984,0.05165,14.43
15,OGI,2,12/10/2014 13:00,12/14/2014 23:50,6767504,6767.504,83.67614,0.083676,20.98
15,OGI,3,12/16/2014 13:20,12/24/2014 7:30,12490381,12490.38,45.56173,0.045562,9.13
15,OGI,4,2/6/2015 1:10,2/9/2015 5:30,6312730,6312.73,109.1613,0.109161,41.64
10,POR,1,12/15/2009 14:40,12/17/2009 19:20,5251720,5251.72,114.5131,0.114513,56.34
10,POR,2,1/18/2010 4:10,1/24/2010 11:40,28945058,28945.06,130.6254,0.130625,71.51
10,POR,3,1/24/2010 22:40,1/28/2010 23:50,15232254,15232.25,218.1526,0.218153,57.35
10,POR,4,2/26/2010 5:20,3/2/2010 0:00,9279409,9279.409,141.1592,0.141159,27.03
10,POR,5,3/2/2010 2:30,3/5/2010 23:50,10619619,10619.62,65.69498,0.065695,8.49
10,POR,6,3/31/2010 11:40,4/7/2010 20:40,15787087,15787.09,75.69081,0.075691,17.03
10,POR,7,4/11/2010 4:40,4/15/2010 23:50,12292581,12292.58,103.951,0.103951,21.39
11,POR,1,10/23/2010 1:10,10/27/2010 7:50,8046171,8046.171,136.7418,0.136742,62.74
11,POR,2,10/28/2010 0:20,11/1/2010 23:50,8461525,8461.525,77.84288,0.077843,9.87
11,POR,3,12/19/2010 0:30,12/25/2010 23:50,15544437,15544.44,61.0227,0.061023,10.16
11,POR,4,12/28/2010 10:50,1/2/2011 22:50,15586793,15586.79,179.302,0.179302,59.18
11,POR,5,2/15/2011 6:50,2/20/2011 21:30,10962074,10962.07,58.16271,0.058163,14.57
11,POR,6,3/15/2011 4:30,3/17/2011 14:10,8912687,8912.687,86.90426,0.086904,21.36
11,POR,7,3/17/2011 20:50,3/22/2011 19:20,17808268,17808.27,83.67614,0.083676,16.47
11,POR,8,3/23/2011 1:40,4/1/2011 16:30,38152769,38152.77,200.0865,0.200087,141.86
12,POR,1,11/23/2011 14:20,11/25/2011 22:50,4365297,4365.297,82.45852,0.082459,25.77
12,POR,2,1/19/2012 7:10,1/22/2012 5:30,9287019,9287.019,192.4127,0.192413,80.69
12,POR,3,1/22/2012 12:00,1/26/2012 9:30,10087741,10087.74,121.7622,0.121762,18.36
12,POR,4,3/26/2012 21:00,3/29/2012 12:40,13479337,13479.34,131.7864,0.131786,47.22
12,POR,5,3/29/2012 14:40,4/3/2012 23:50,18324369,18324.37,115.3626,0.115363,27.29
13,POR,1,12/1/2012 16:50,12/4/2012 11:50,11550772,11550.77,256.3237,0.256324,137.03
13,POR,2,12/20/2012 14:40,12/23/2012 2:00,12999523,12999.52,179.9533,0.179953,40.13
13,POR,3,12/23/2012 2:10,12/25/2012 15:40,9832683,9832.683,139.6868,0.139687,21.99
14,POR,1,2/8/2014 7:10,2/13/2014 23:50,5820122,5820.122,50.54549,0.050545,12.49
14,POR,2,3/3/2014 4:30,3/5/2014 12:50,9097792,9097.792,172.9024,0.172902,41.83
14,POR,3,3/28/2014 12:40,3/31/2014 12:20,7845174,7845.174,106.8959,0.106896,26.44
15,POR,1,12/3/2014 4:10,12/5/2014 12:00,5239367,5239.367,106.103,0.106103,0.16
15,POR,2,12/10/2014 13:00,12/14/2014 23:50,15632014,15632.01,185.475,0.185475,1.86
15,POR,3,12/16/2014 13:20,12/24/2014 7:30,29810461,29810.46,99.47692,0.099477,2.21
15,POR,4,2/6/2015 1:10,2/9/2015 5:30,14380971,14380.97,197.0566,0.197057,7.07
10,QUE,1,12/15/2009 14:40,12/17/2009 19:20,52235136.16,52235.1362,986.274144,0.986274144,19.78
